dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1, CBAM-CNNResnet, 4, 0.59275, 0.48029, 0.73750, 0.32784, 0.42297, 0.35373, 0.57917, 0.17727, 0.60750, 0.45652, 0.88544, 0.00000, 0.48000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 5, 0.63188, 0.58750, 0.77500, 0.52443, 0.78693, 0.36418, 0.58056, 0.27576, 0.57000, 0.49565, 0.82816, 0.00000, 0.80000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 6, 0.63913, 0.45337, 0.39306, 0.49545, 0.64205, 0.53433, 0.62639, 0.50000, 0.39750, 0.19565, 0.52913, 0.00000, 0.40000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 7, 0.54928, 0.42837, 0.39722, 0.51591, 0.55194, 0.46567, 0.57917, 0.58636, 0.32500, 0.22609, 0.48155, 0.00000, 0.46000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 8, 0.64928, 0.39760, 0.41806, 0.52273, 0.71484, 0.43433, 0.70972, 0.18636, 0.29500, 0.27391, 0.57087, 0.00000, 0.84000, 0.00000, 0.00000
D1, CBAM-CNNResnet, 9, 0.65942, 0.56683, 0.68889, 0.59830, 0.65583, 0.34328, 0.57500, 0.18636, 0.33750, 0.33913, 0.86893, 0.00000, 0.74000, 0.00000, 0.00000
D2, CNN, 0, 0.93478, 0.76058, 0.92361, 0.68011, 0.71413, 0.19701, 0.88472, 0.42424, 0.75000, 0.82609, 0.95534, 0.00000, 1.00000, 0.00000, 0.00000
D2, CNN, 1, 0.92899, 0.80096, 0.91528, 0.68693, 0.71484, 0.23134, 0.88194, 0.50909, 0.74000, 0.82609, 0.94660, 0.00000, 1.00000, 0.00000, 0.00000
D2, SECNN, 0, 0.71449, 0.70096, 0.96667, 0.77443, 0.64876, 0.20149, 0.67361, 0.29242, 0.69500, 0.51739, 0.98252, 0.00000, 1.00000, 0.00000, 0.00000
D2, SECNN, 1, 0.71449, 0.69231, 0.96667, 0.77386, 0.64664, 0.20448, 0.67361, 0.28788, 0.70500, 0.50435, 0.98252, 0.00000, 1.00000, 0.00000, 0.00000
D2, SECNN, 2, 0.70725, 0.74904, 0.96389, 0.77102, 0.66608, 0.30448, 0.64861, 0.34545, 0.76500, 0.60870, 0.98544, 0.00000, 1.00000, 0.00000, 0.00000
D2, SECNN, 3, 0.70725, 0.74856, 0.96389, 0.77159, 0.66254, 0.30597, 0.64167, 0.34394, 0.76500, 0.60870, 0.98544, 0.00000, 1.00000, 0.00000, 0.00000
D2, CBAM-CNN, 0, 0.39420, 0.37981, 0.92222, 0.27500, 0.37385, 0.54179, 0.25833, 0.76515, 0.36250, 0.55217, 0.94660, 0.00000, 0.60000, 0.00000, 0.00000
D2, CBAM-CNN, 1, 0.38551, 0.37837, 0.91806, 0.27159, 0.37279, 0.69552, 0.25556, 0.74545, 0.37750, 0.56957, 0.94660, 0.00000, 0.60000, 0.00000, 0.00000
D2, CBAM-CNN, 2, 0.30290, 0.38221, 0.82361, 0.27216, 0.36643, 0.79104, 0.29722, 0.74242, 0.36750, 0.57391, 0.94660, 0.00000, 0.68000, 0.00000, 0.00000
D2, CBAM-CNN, 3, 0.28696, 0.34567, 0.91250, 0.27841, 0.36325, 0.53881, 0.24028, 0.66061, 0.24250, 0.69130, 0.94660, 0.00000, 0.58000, 0.00000, 0.00000
D2, CBAM-CNN, 4, 0.27826, 0.34712, 0.91389, 0.28068, 0.36078, 0.51045, 0.23611, 0.60606, 0.22250, 0.68696, 0.94660, 0.00000, 0.58000, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.62609, 0.67452, 0.90972, 0.76193, 0.57208, 0.33582, 0.57222, 0.38939, 0.60750, 0.69130, 0.94660, 0.00000, 0.60000, 0.00000, 0.00000
D2, CNNResnet, 0, 0.20580, 0.38942, 0.50000, 0.29375, 0.36961, 0.74328, 0.49306, 0.69697, 0.51000, 0.59565, 0.21650, 0.00000, 0.40000, 0.00000, 0.00000
D2, CNNResnet, 1, 0.23623, 0.45240, 0.18333, 0.50511, 0.37951, 0.72687, 0.40139, 0.77879, 0.50250, 0.45652, 0.34854, 0.00000, 0.40000, 0.00000, 0.00000
D2, CNNResnet, 2, 0.17681, 0.44327, 0.37778, 0.50398, 0.32297, 0.68507, 0.35556, 0.70455, 0.45750, 0.50000, 0.59903, 0.00000, 0.40000, 0.00000, 0.00000
D2, CNNResnet, 3, 0.64638, 0.46971, 0.80278, 0.41136, 0.53145, 0.56866, 0.60972, 0.48182, 0.52750, 0.72174, 0.90680, 0.00000, 0.40000, 0.00000, 0.00000
D2, CNNResnet, 4, 0.53623, 0.26875, 0.44583, 0.42102, 0.48516, 0.44776, 0.45278, 0.55000, 0.45250, 0.67826, 0.68932, 0.00000, 0.36000, 0.00000, 0.00000
D2, CNNResnet, 5, 0.54058, 0.43942, 0.66250, 0.58580, 0.45053, 0.37164, 0.57500, 0.51515, 0.56500, 0.48261, 0.79515, 0.00000, 0.40000, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.27826, 0.72260, 0.48194, 0.47500, 0.44028, 0.17313, 0.41111, 0.25909, 0.41250, 0.73043, 0.50874, 0.00000, 0.80000, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.22609, 0.37837, 0.41250, 0.39773, 0.35230, 0.49403, 0.31528, 0.80152, 0.72750, 0.25217, 0.17379, 0.00000, 0.80000, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.22754, 0.39471, 0.40278, 0.41250, 0.35442, 0.61194, 0.32917, 0.86667, 0.72750, 0.24783, 0.16796, 0.00000, 0.80000, 0.00000, 0.00000
D2, SECNNResnet, 3, 0.10435, 0.37163, 0.51111, 0.40511, 0.32014, 0.31045, 0.25833, 0.55758, 0.67750, 0.48261, 0.43592, 0.00000, 0.80000, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.35942, 0.63654, 0.37222, 0.61648, 0.39293, 0.40149, 0.43750, 0.40909, 0.49000, 0.76087, 0.86796, 0.00000, 0.80000, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.23043, 0.53750, 0.22917, 0.46364, 0.36996, 0.85075, 0.52361, 0.76212, 0.71750, 0.73913, 0.40291, 0.00000, 0.20000, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.21159, 0.52260, 0.27361, 0.45795, 0.34982, 0.85075, 0.51111, 0.71364, 0.71500, 0.68261, 0.40000, 0.00000, 0.20000, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.57971, 0.71058, 0.80000, 0.70114, 0.49046, 0.42687, 0.60556, 0.45606, 0.66000, 0.78261, 0.87767, 0.00000, 0.68000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.42464, 0.66154, 0.93611, 0.46250, 0.35300, 0.34627, 0.55694, 0.52576, 0.72500, 0.63478, 0.95534, 0.00000, 0.58000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.09275, 0.48221, 0.16667, 0.57614, 0.42756, 0.43731, 0.88056, 0.51818, 0.46250, 0.34783, 0.94660, 0.00000, 0.66000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.10290, 0.48846, 0.32778, 0.51307, 0.40636, 0.41343, 0.82639, 0.60758, 0.41250, 0.36957, 0.88155, 0.00000, 0.84000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.67391, 0.51250, 0.47778, 0.57898, 0.57456, 0.48657, 0.87917, 0.55758, 0.44750, 0.45652, 0.95534, 0.00000, 0.90000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.49420, 0.65481, 0.93333, 0.76875, 0.44770, 0.30448, 0.60417, 0.54394, 0.69250, 0.62609, 0.95825, 0.00000, 0.94000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.63913, 0.69760, 0.93194, 0.79091, 0.62650, 0.35821, 0.56944, 0.42576, 0.62000, 0.68696, 0.96019, 0.00000, 0.92000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.37536, 0.60865, 0.70972, 0.38693, 0.25124, 0.62836, 0.46250, 0.70000, 0.69250, 0.71304, 0.35534, 0.00000, 0.04000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 7, 0.52754, 0.65673, 0.73194, 0.39659, 0.24064, 0.57015, 0.56806, 0.61212, 0.50000, 0.71739, 0.49515, 0.00000, 0.08000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 8, 0.93913, 0.79952, 0.67222, 0.59602, 0.62686, 0.45224, 0.94861, 0.58636, 0.40750, 0.71304, 0.64078, 0.00000, 0.08000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 9, 0.65797, 0.71250, 0.93750, 0.79318, 0.62473, 0.34627, 0.55972, 0.43939, 0.53500, 0.69565, 0.96602, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 0, 0.95217, 0.74375, 0.97361, 0.70625, 0.66502, 0.13731, 0.90000, 0.35758, 0.80000, 0.83913, 0.99223, 0.00000, 1.00000, 0.00000, 0.00000
D3, CNN, 1, 0.95072, 0.78654, 0.97222, 0.72955, 0.68339, 0.19851, 0.88889, 0.43030, 0.79250, 0.84783, 0.99223, 0.00000, 1.00000, 0.00000, 0.00000
D3, SECNN, 0, 0.68116, 0.51827, 0.82361, 0.66591, 0.38516, 0.22687, 0.56111, 0.26061, 0.54750, 0.67391, 0.88738, 0.00000, 0.84000, 0.00000, 0.00000
D3, SECNN, 1, 0.70145, 0.55721, 0.82639, 0.66136, 0.51696, 0.24179, 0.61944, 0.25758, 0.50250, 0.64783, 0.88835, 0.00000, 0.84000, 0.00000, 0.00000
D3, SECNN, 2, 0.68841, 0.60000, 0.81111, 0.66023, 0.59081, 0.33433, 0.61250, 0.35303, 0.51750, 0.68261, 0.88738, 0.00000, 0.92000, 0.00000, 0.00000
D3, SECNN, 3, 0.68841, 0.60048, 0.81111, 0.66080, 0.59117, 0.33433, 0.61250, 0.35606, 0.51750, 0.68261, 0.88738, 0.00000, 0.92000, 0.00000, 0.00000
D3, CBAM-CNN, 0, 0.70145, 0.37212, 0.95556, 0.65000, 0.34409, 0.20448, 0.74861, 0.27121, 0.72250, 0.56522, 0.95243, 0.00000, 0.80000, 0.00000, 0.00000
D3, CBAM-CNN, 1, 0.69855, 0.39279, 0.91806, 0.62045, 0.36431, 0.17910, 0.74444, 0.27879, 0.72250, 0.61304, 0.95243, 0.00000, 0.80000, 0.00000, 0.00000
D3, CBAM-CNN, 2, 0.61594, 0.43846, 0.32639, 0.40966, 0.41873, 0.19104, 0.73750, 0.28485, 0.72000, 0.69130, 0.94563, 0.00000, 0.80000, 0.00000, 0.00000
D3, CBAM-CNN, 3, 0.66087, 0.40096, 0.93889, 0.56591, 0.31696, 0.29851, 0.73194, 0.30606, 0.76500, 0.71739, 0.95049, 0.00000, 0.80000, 0.00000, 0.00000
D3, CBAM-CNN, 4, 0.66232, 0.56154, 0.94167, 0.58352, 0.28693, 0.30448, 0.72639, 0.31212, 0.75500, 0.71739, 0.94951, 0.00000, 0.80000, 0.00000, 0.00000
D3, CBAM-CNN, 5, 0.67536, 0.62837, 0.94722, 0.64318, 0.45795, 0.27761, 0.74306, 0.31970, 0.76750, 0.70000, 0.95049, 0.00000, 0.80000, 0.00000, 0.00000
D3, CNNResnet, 0, 0.35942, 0.33942, 0.80278, 0.25398, 0.39929, 0.69254, 0.23611, 0.71364, 0.43500, 0.64348, 0.41456, 0.00000, 0.48000, 0.00000, 0.00000
D3, CNNResnet, 1, 0.26522, 0.44423, 0.16667, 0.41420, 0.71519, 0.67910, 0.33750, 0.71364, 0.32250, 0.56087, 0.16117, 0.00000, 0.42000, 0.00000, 0.00000
D3, CNNResnet, 2, 0.19420, 0.42308, 0.45556, 0.41420, 0.72898, 0.65373, 0.24167, 0.59848, 0.29000, 0.54348, 0.33689, 0.00000, 0.56000, 0.00000, 0.00000
D3, CNNResnet, 3, 0.42174, 0.52404, 0.84306, 0.66761, 0.52862, 0.37910, 0.47500, 0.40606, 0.48250, 0.65217, 0.86699, 0.00000, 0.60000, 0.00000, 0.00000
