dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1, CBAM-CNNResnet, 4, 0.13310, 0.25259, 0.24154, 0.06686, 0.17076, 0.06727, 0.15297, 0.03785, 0.07964, 0.03491, 0.40118, 0.00000, 0.01047, 0.00000, 0.00000
D1, CBAM-CNNResnet, 5, 0.13149, 0.29765, 0.21937, 0.17471, 0.23992, 0.06406, 0.11974, 0.05434, 0.07081, 0.01264, 0.38153, 0.00000, 0.00942, 0.00000, 0.00000
D1, CBAM-CNNResnet, 6, 0.13477, 0.21819, 0.03927, 0.19384, 0.18054, 0.07167, 0.08263, 0.06477, 0.02618, 0.00956, 0.08406, 0.00000, 0.00443, 0.00000, 0.00000
D1, CBAM-CNNResnet, 7, 0.10283, 0.18711, 0.03946, 0.21459, 0.17866, 0.07961, 0.08778, 0.06269, 0.02149, 0.01031, 0.06435, 0.00000, 0.00329, 0.00000, 0.00000
D1, CBAM-CNNResnet, 8, 0.12727, 0.19703, 0.04330, 0.22801, 0.34896, 0.07973, 0.07056, 0.03462, 0.03159, 0.00855, 0.07423, 0.00000, 0.00563, 0.00000, 0.00000
D1, CBAM-CNNResnet, 9, 0.13665, 0.28442, 0.20619, 0.23973, 0.34751, 0.05968, 0.12117, 0.03714, 0.04411, 0.00938, 0.38878, 0.00000, 0.00859, 0.00000, 0.00000
D2, CNN, 0, 0.19748, 0.41108, 0.25546, 0.26796, 0.39936, 0.03600, 0.22602, 0.08369, 0.10863, 0.04978, 0.37453, 0.00000, 0.01578, 0.00000, 0.00000
D2, CNN, 1, 0.17446, 0.40624, 0.20588, 0.25950, 0.38780, 0.03955, 0.18540, 0.08948, 0.08963, 0.04489, 0.29347, 0.00000, 0.01410, 0.00000, 0.00000
D2, SECNN, 0, 0.14267, 0.31285, 0.20281, 0.29493, 0.32934, 0.03678, 0.15224, 0.05635, 0.08265, 0.03316, 0.31511, 0.00000, 0.01582, 0.00000, 0.00000
D2, SECNN, 1, 0.14259, 0.31033, 0.20286, 0.29466, 0.32846, 0.03726, 0.15200, 0.05561, 0.08371, 0.03276, 0.31535, 0.00000, 0.01581, 0.00000, 0.00000
D2, SECNN, 2, 0.13109, 0.31942, 0.19185, 0.27883, 0.33248, 0.05109, 0.11926, 0.05834, 0.08243, 0.03622, 0.29672, 0.00000, 0.01384, 0.00000, 0.00000
D2, SECNN, 3, 0.13134, 0.31902, 0.19201, 0.27867, 0.33002, 0.05128, 0.11809, 0.05805, 0.08246, 0.03638, 0.29672, 0.00000, 0.01395, 0.00000, 0.00000
D2, CBAM-CNN, 0, 0.06461, 0.08370, 0.22949, 0.05390, 0.11447, 0.04962, 0.02273, 0.05514, 0.01620, 0.05568, 0.36180, 0.00000, 0.01280, 0.00000, 0.00000
D2, CBAM-CNN, 1, 0.05753, 0.08340, 0.22818, 0.05327, 0.11431, 0.05516, 0.02255, 0.05380, 0.01687, 0.05371, 0.36180, 0.00000, 0.01277, 0.00000, 0.00000
D2, CBAM-CNN, 2, 0.02264, 0.08344, 0.22669, 0.05322, 0.11237, 0.05994, 0.02243, 0.05351, 0.01617, 0.06018, 0.40894, 0.00000, 0.01653, 0.00000, 0.00000
D2, CBAM-CNN, 3, 0.04150, 0.07607, 0.22142, 0.05466, 0.11263, 0.05305, 0.02190, 0.05200, 0.01064, 0.05792, 0.35196, 0.00000, 0.01271, 0.00000, 0.00000
D2, CBAM-CNN, 4, 0.04632, 0.07618, 0.22366, 0.05517, 0.11187, 0.04930, 0.03046, 0.05170, 0.00977, 0.05740, 0.35259, 0.00000, 0.01265, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.12182, 0.30882, 0.20966, 0.29375, 0.31250, 0.05930, 0.11417, 0.07294, 0.06945, 0.05547, 0.33478, 0.00000, 0.01233, 0.00000, 0.00000
D2, CNNResnet, 0, 0.02647, 0.08464, 0.07564, 0.05679, 0.11348, 0.06173, 0.12597, 0.04987, 0.05199, 0.04716, 0.04412, 0.00000, 0.00219, 0.00000, 0.00000
D2, CNNResnet, 1, 0.01741, 0.09696, 0.01321, 0.10679, 0.12178, 0.05413, 0.04459, 0.05715, 0.02143, 0.01516, 0.03875, 0.00000, 0.00292, 0.00000, 0.00000
D2, CNNResnet, 2, 0.01980, 0.10030, 0.04582, 0.11045, 0.14282, 0.05240, 0.05474, 0.05780, 0.02444, 0.02977, 0.16394, 0.00000, 0.00277, 0.00000, 0.00000
D2, CNNResnet, 3, 0.11821, 0.20483, 0.18420, 0.13310, 0.22142, 0.06888, 0.12948, 0.09811, 0.06695, 0.06289, 0.39069, 0.00000, 0.00277, 0.00000, 0.00000
D2, CNNResnet, 4, 0.04866, 0.09999, 0.05525, 0.13220, 0.23578, 0.06198, 0.07149, 0.05227, 0.03525, 0.02665, 0.18557, 0.00000, 0.00266, 0.00000, 0.00000
D2, CNNResnet, 5, 0.09981, 0.18603, 0.14385, 0.24503, 0.25838, 0.06270, 0.10763, 0.08709, 0.06151, 0.03280, 0.22004, 0.00000, 0.00275, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.02161, 0.32184, 0.06034, 0.12652, 0.14632, 0.03654, 0.03143, 0.05513, 0.01874, 0.05250, 0.06698, 0.00000, 0.01311, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.01684, 0.09526, 0.04300, 0.08058, 0.10828, 0.06909, 0.02603, 0.07192, 0.03303, 0.01263, 0.02771, 0.00000, 0.01035, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.01691, 0.09598, 0.04171, 0.08175, 0.10875, 0.05809, 0.02708, 0.06928, 0.03290, 0.01227, 0.02649, 0.00000, 0.00953, 0.00000, 0.00000
