dataset, network, layer, 1,2,3,4,5,6,7,8,9
D2, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.91053, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.20526, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.43158, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.90000, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.81053, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.27368, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.92632, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.73158, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.90000, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.95263, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.95263, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.95263, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.48947, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.95789, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.97368, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.20000, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.18421, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.12632, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.14737, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.05263, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.32632, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.20000, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.84737, 0.00000, 0.00000, 0.00000, 0.00000
