dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1, CBAM-CNNResnet, 4, 0.07135, 0.14462, 0.13748, 0.03464, 0.09528, 0.03481, 0.08282, 0.01929, 0.04147, 0.01790, 0.25100, 0.00000, 0.00527, 0.00000, 0.00000
D1, CBAM-CNNResnet, 5, 0.07038, 0.17487, 0.12321, 0.09640, 0.13674, 0.03309, 0.06369, 0.02796, 0.03670, 0.00636, 0.23608, 0.00000, 0.00474, 0.00000, 0.00000
D1, CBAM-CNNResnet, 6, 0.07229, 0.12361, 0.02003, 0.10740, 0.09997, 0.03718, 0.04320, 0.03348, 0.01327, 0.00480, 0.04404, 0.00000, 0.00222, 0.00000, 0.00000
D1, CBAM-CNNResnet, 7, 0.05424, 0.10375, 0.02013, 0.12031, 0.09925, 0.04146, 0.04599, 0.03237, 0.01086, 0.00518, 0.03328, 0.00000, 0.00165, 0.00000, 0.00000
D1, CBAM-CNNResnet, 8, 0.06798, 0.10965, 0.02213, 0.12870, 0.21158, 0.04152, 0.03657, 0.01762, 0.01605, 0.00430, 0.03855, 0.00000, 0.00282, 0.00000, 0.00000
D1, CBAM-CNNResnet, 9, 0.07334, 0.16583, 0.11499, 0.13625, 0.21038, 0.03076, 0.06450, 0.01893, 0.02257, 0.00471, 0.24141, 0.00000, 0.00431, 0.00000, 0.00000
D2, CNN, 0, 0.10956, 0.25873, 0.14644, 0.15471, 0.24950, 0.01833, 0.12741, 0.04367, 0.05744, 0.02553, 0.23042, 0.00000, 0.00795, 0.00000, 0.00000
D2, CNN, 1, 0.09557, 0.25491, 0.11475, 0.14910, 0.24055, 0.02017, 0.10218, 0.04684, 0.04692, 0.02296, 0.17197, 0.00000, 0.00710, 0.00000, 0.00000
D2, SECNN, 0, 0.07682, 0.18544, 0.11285, 0.17299, 0.19943, 0.01874, 0.08239, 0.02899, 0.04311, 0.01692, 0.18703, 0.00000, 0.00797, 0.00000, 0.00000
D2, SECNN, 1, 0.07677, 0.18368, 0.11288, 0.17280, 0.19883, 0.01899, 0.08225, 0.02860, 0.04368, 0.01671, 0.18720, 0.00000, 0.00797, 0.00000, 0.00000
D2, SECNN, 2, 0.07014, 0.19008, 0.10611, 0.16201, 0.19943, 0.02622, 0.06342, 0.03005, 0.04299, 0.01845, 0.17421, 0.00000, 0.00697, 0.00000, 0.00000
D2, SECNN, 3, 0.07028, 0.18980, 0.10621, 0.16190, 0.19769, 0.02632, 0.06276, 0.02990, 0.04301, 0.01853, 0.17421, 0.00000, 0.00703, 0.00000, 0.00000
D2, CBAM-CNN, 0, 0.03424, 0.04368, 0.12962, 0.02770, 0.06071, 0.02548, 0.01150, 0.02835, 0.00816, 0.02865, 0.22086, 0.00000, 0.00644, 0.00000, 0.00000
D2, CBAM-CNN, 1, 0.03021, 0.04352, 0.12879, 0.02737, 0.06062, 0.02838, 0.01141, 0.02764, 0.00851, 0.02760, 0.22086, 0.00000, 0.00643, 0.00000, 0.00000
D2, CBAM-CNN, 2, 0.01145, 0.04354, 0.12974, 0.02734, 0.05953, 0.03090, 0.01134, 0.02749, 0.00815, 0.03103, 0.25703, 0.00000, 0.00833, 0.00000, 0.00000
D2, CBAM-CNN, 3, 0.02156, 0.03955, 0.12454, 0.02810, 0.05968, 0.02725, 0.01108, 0.02672, 0.00535, 0.02982, 0.21357, 0.00000, 0.00640, 0.00000, 0.00000
D2, CBAM-CNN, 4, 0.02428, 0.03961, 0.12596, 0.02837, 0.05925, 0.02529, 0.01567, 0.02655, 0.00491, 0.02955, 0.21404, 0.00000, 0.00636, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.06486, 0.18262, 0.11711, 0.17217, 0.18521, 0.03056, 0.06056, 0.03786, 0.03598, 0.02853, 0.20105, 0.00000, 0.00620, 0.00000, 0.00000
D2, CNNResnet, 0, 0.01365, 0.04421, 0.04078, 0.02923, 0.06016, 0.03187, 0.06738, 0.02557, 0.02691, 0.02429, 0.02474, 0.00000, 0.00109, 0.00000, 0.00000
D2, CNNResnet, 1, 0.00878, 0.05095, 0.00665, 0.05685, 0.06487, 0.02782, 0.02282, 0.02941, 0.01083, 0.00764, 0.01982, 0.00000, 0.00146, 0.00000, 0.00000
D2, CNNResnet, 2, 0.01000, 0.05280, 0.02355, 0.05878, 0.07723, 0.02691, 0.02815, 0.02976, 0.01238, 0.01513, 0.09124, 0.00000, 0.00139, 0.00000, 0.00000
D2, CNNResnet, 3, 0.06284, 0.11425, 0.10159, 0.07188, 0.12614, 0.03569, 0.06927, 0.05160, 0.03465, 0.03247, 0.24423, 0.00000, 0.00139, 0.00000, 0.00000
D2, CNNResnet, 4, 0.02495, 0.05266, 0.02844, 0.07091, 0.13438, 0.03199, 0.03710, 0.02684, 0.01795, 0.01351, 0.10278, 0.00000, 0.00133, 0.00000, 0.00000
D2, CNNResnet, 5, 0.05255, 0.10286, 0.07763, 0.13965, 0.14901, 0.03237, 0.05688, 0.04553, 0.03174, 0.01669, 0.12372, 0.00000, 0.00138, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.01092, 0.19305, 0.03239, 0.07055, 0.08033, 0.01861, 0.01597, 0.02840, 0.00946, 0.02696, 0.03572, 0.00000, 0.00660, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.00849, 0.05002, 0.02198, 0.04200, 0.05724, 0.03582, 0.01319, 0.03732, 0.01679, 0.00636, 0.01405, 0.00000, 0.00520, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.00853, 0.05041, 0.02131, 0.04262, 0.05750, 0.02992, 0.01373, 0.03589, 0.01672, 0.00618, 0.01343, 0.00000, 0.00479, 0.00000, 0.00000
D2, SECNNResnet, 3, 0.00566, 0.07962, 0.03633, 0.06463, 0.06277, 0.03214, 0.02249, 0.05913, 0.01881, 0.01468, 0.05125, 0.00000, 0.00508, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.03088, 0.16470, 0.03944, 0.14122, 0.11204, 0.03599, 0.04524, 0.03478, 0.02506, 0.02234, 0.13986, 0.00000, 0.00551, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.01192, 0.08569, 0.02008, 0.04737, 0.05823, 0.03449, 0.02318, 0.03369, 0.02977, 0.02070, 0.02676, 0.00000, 0.00069, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.01193, 0.08892, 0.02347, 0.04674, 0.05516, 0.03499, 0.02256, 0.03264, 0.02894, 0.01883, 0.02647, 0.00000, 0.00070, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.05039, 0.17173, 0.08778, 0.14543, 0.14497, 0.03825, 0.06054, 0.03794, 0.03530, 0.02221, 0.14989, 0.00000, 0.00450, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.04217, 0.17095, 0.13016, 0.08354, 0.05846, 0.02305, 0.07097, 0.02608, 0.04279, 0.02321, 0.20872, 0.00000, 0.00648, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.00578, 0.05865, 0.01178, 0.06211, 0.07308, 0.03213, 0.03607, 0.02697, 0.01749, 0.00679, 0.12004, 0.00000, 0.00375, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.00807, 0.06098, 0.03017, 0.11444, 0.07331, 0.03364, 0.03851, 0.02834, 0.01639, 0.00715, 0.13837, 0.00000, 0.00315, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.05640, 0.09540, 0.05186, 0.11910, 0.16478, 0.03368, 0.03580, 0.03301, 0.01842, 0.00830, 0.08838, 0.00000, 0.00349, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.04603, 0.16488, 0.12987, 0.16844, 0.10549, 0.02470, 0.07376, 0.02589, 0.03608, 0.02041, 0.23122, 0.00000, 0.01094, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.05666, 0.16478, 0.11966, 0.16245, 0.18307, 0.02845, 0.05345, 0.03390, 0.03320, 0.02156, 0.18784, 0.00000, 0.00905, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.01500, 0.11614, 0.04265, 0.04233, 0.04415, 0.02502, 0.02679, 0.03152, 0.01927, 0.01139, 0.02425, 0.00000, 0.00013, 0.00000, 0.00000
D2, CBAM-CNNResnet, 7, 0.02490, 0.12995, 0.04388, 0.04368, 0.04735, 0.02368, 0.04028, 0.03149, 0.01670, 0.01172, 0.03486, 0.00000, 0.00026, 0.00000, 0.00000
D2, CBAM-CNNResnet, 8, 0.04508, 0.10763, 0.03495, 0.09660, 0.18929, 0.02679, 0.04341, 0.02576, 0.01074, 0.01173, 0.04426, 0.00000, 0.00026, 0.00000, 0.00000
D2, CBAM-CNNResnet, 9, 0.06014, 0.17281, 0.13191, 0.16395, 0.18740, 0.02841, 0.05402, 0.03588, 0.03023, 0.02425, 0.20967, 0.00000, 0.00000, 0.00000, 0.00000
