dataset, network, layer, 1,2,3,4,5,6,7,8,9
D2, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.02559, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00242, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00866, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02859, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.01330, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00341, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.02071, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00823, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.03130, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02968, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02987, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.02052, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00585, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.01345, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.01373, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00239, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00208, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00257, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00269, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00116, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00790, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00246, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.02382, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.02272, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.00477, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.00228, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00110, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00175, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.01830, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.01097, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00508, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00515, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00390, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.01063, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02170, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00752, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00625, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00426, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.02613, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02679, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02482, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00338, 0.00000, 0.00000, 0.00000, 0.00000
