dataset, network, layer, 1,2,3,4,5,6,7,8,9
D2, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.04963, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00482, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.01694, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05560, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02621, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00678, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.04056, 0.00000, 0.00000, 0.00000, 0.00000
D2, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.01632, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.06070, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05765, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.05801, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.04021, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01161, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.02653, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.02709, 0.00000, 0.00000, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00478, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00415, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00511, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.00536, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00232, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01551, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00491, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.04652, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.04443, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.00948, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.00454, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00220, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00349, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.03568, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02148, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.01011, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.01024, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.00778, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02085, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.04229, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.01493, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01242, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00848, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.05092, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05218, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.04844, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00674, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.03238, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.01331, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.06210, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.05413, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.05410, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00212, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00173, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.02135, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.02200, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00184, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.05808, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02493, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.05100, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.03995, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.05652, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00446, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.02023, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.01807, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.01623, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.00266, 0.00000, 0.00000, 0.00000, 0.00000
